index,id,title,overview,vote_count,poster_path
0,615656,Meg 2: The Trench,based on novel or book sequel kaiju Action Science Fiction Horror JasonStatham WuJing ShuyaSophiaCai SergioPeris Mencheta BenWheatley,1365.0,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg
1,758323,The Pope's Exorcist,spain rome italy vatican pope pig possession conspiracy devil exorcist skepticism catholic priest 1980s supernatural horror Horror Mystery Thriller RussellCrowe DanielZovatto AlexEssoe FrancoNero PeterDeSouza JuliusAvery,545.0,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg
2,667538,Transformers: Rise of the Beasts,peru alien end of the world based on cartoon based on toy robot duringcreditsstinger 1990s brother brother relationship Action Adventure Science Fiction AnthonyRamos DominiqueFishback LunaLaurenVelez DeanScottVazquez TobeNwigwe StevenCapleJr.,1007.0,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg
3,640146,Ant-Man and the Wasp: Quantumania,hero ant sequel superhero based on comic family superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Action Adventure Science Fiction PaulRudd EvangelineLilly JonathanMajors KathrynNewton MichellePfeiffer PeytonReed,2811.0,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg
4,677179,Creed III,philadelphia pennsylvania husband wife relationship deaf sports sequel orphan former best friend ex con childhood friends juvenile detention center boxing prodigy Drama Action MichaelB.Jordan TessaThompson JonathanMajors WoodHarris PhyliciaRashād MichaelB.Jordan,1129.0,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg
5,385687,Fast X,sequel revenge racing family cliffhanger cars Action Crime Thriller VinDiesel MichelleRodriguez TyreseGibson Ludacris JohnCena LouisLeterrier,3694.0,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
6,614479,Insidious: The Red Door,sequel demon franchise insidious supernatural horror evil spirits directorial debut fifth part Horror Mystery Thriller TySimpkins PatrickWilson SinclairDaniel RoseByrne LinShaye PatrickWilson,564.0,/azTC5osYiqei1ofw6Z3GmUrxQbi.jpg
7,298618,The Flash,secret identity hero superhero based on comic superhuman super power aftercreditsstinger butterfly effect dc extended universe (dceu) superhuman abilities loss of mother Action Adventure Science Fiction EzraMiller SashaCalle MichaelKeaton MichaelShannon RonLivingston AndyMuschietti,1979.0,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg
8,646389,Plane,pilot airplane philippines held hostage plane crash Action Adventure Thriller GerardButler MikeColter YosonAn TonyGoldwyn DaniellaPineda Jean-FrançoisRichet,785.0,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
9,569094,Spider-Man: Across the Spider-Verse,sacrifice villain comic book sequel superhero based on comic alternate dimension alternate version super power brooklyn new york city superhero team spider bite super villain cliffhanger teen superhero alternate universe female superhero cartoon spider Action Adventure Animation Science Fiction ShameikMoore HaileeSteinfeld BrianTyreeHenry LunaLaurenVelez JakeJohnson JoaquimDosSantos,1684.0,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
10,934433,Scream VI,new york city mask trauma halloween college fake identity sequel revenge public murder murder gore serial killer conspiracy theory social commentary police corruption slasher whodunit multiple stabbings brutality killing spree self referential crime spree aftercreditsstinger sisterhood movie fan copycat killer masked villain stabbed to death sister sister relationship fbi agent post credit scene masked killer Horror Mystery Thriller MelissaBarrera JennaOrtega JasminSavoyBrown MasonGooding RogerJackson MattBettinelli-Olpin,1007.0,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg
11,575264,Mission: Impossible - Dead Reckoning Part One,rome italy chase secret agent race against time sequel intelligence agency rogue agent based on tv series secret government agency northern norway Action Thriller TomCruise HayleyAtwell VingRhames SimonPegg RebeccaFerguson ChristopherMcQuarrie,1748.0,/NNxYkU70HPurnNCSiCjYAmacwm.jpg
14,594767,Shazam! Fury of the Gods,superhero end of the world super power aftercreditsstinger duringcreditsstinger dc extended universe (dceu) teenager Action Comedy Fantasy Adventure ZacharyLevi AsherAngel JackDylanGrazer RachelZegler AdamBrody DavidF.Sandberg,1602.0,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg
15,455476,Knights of the Zodiac,superhero based on manga live action anime Fantasy Action Adventure Mackenyu MadisonIseman DiegoTinoco MarkDacascos NickStahl TomekBaginski,471.0,/tBiUXvCqz34GDeuY7jK14QQdtat.jpg
16,968051,The Nun II,france bullying sequel religion demon gothic horror demonic possession praying duringcreditsstinger all girls school 1950s demonic convent the conjuring universe Horror Mystery Thriller TaissaFarmiga JonasBloquet StormReid AnnaPopplewell BonnieAarons MichaelChaves,1073.0,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg
20,868759,Ghosted,secret agent Romance Action Comedy ChrisEvans AnadeArmas AdrienBrody MikeMoh TateDonovan DexterFletcher,425.0,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg
21,697843,Extraction 2,mercenary sequel rescue mission long take based on graphic novel Action Thriller ChrisHemsworth GolshiftehFarahani AdamBessa TornikeGogrichiani TornikeBziava SamHargrave,1198.0,/7gKI9hpEMcZUQpNgKrkDzJpbnNS.jpg
22,758009,Shotgun Wedding,wedding hostage situation Action Romance Comedy JenniferLopez JoshDuhamel JenniferCoolidge SôniaBraga LennyKravitz JasonMoore,618.0,/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg
24,447365,Guardians of the Galaxy Vol. 3,hero sequel superhero based on comic mad scientist superhero team space opera raccoon aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) cosmic outer space chosen family Action Science Fiction Adventure ChrisPratt ZoeSaldaña DaveBautista KarenGillan PomKlementieff JamesGunn,2139.0,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg
25,762430,Retribution,bomb assassination remake divorce duringcreditsstinger phone call berlin Action Mystery Thriller Crime LiamNeeson NomaDumezweni LillyAspell JackChampion ArianMoayed NimródAntal,341.0,/ljl70pjLIX1hx3bPyCCbxGj6WPr.jpg
28,420808,Peter Pan & Wendy,island magic fairy fairy tale peter pan immortality remake pirate based on children's book fantasy world live action remake Family Fantasy Action Adventure AlexanderMolony EverAnderson JudeLaw AlyssaWapanatâhk JimGaffigan DavidLowery,367.0,/8naZFKLQxhsYfvgveSP9Xw7Jv1B.jpg
29,315162,Puss in Boots: The Last Wish,fairy tale talking dog spin off aftercreditsstinger talking cat fear of death Animation Family Fantasy Adventure Comedy AntonioBanderas SalmaHayekPinault HarveyGuillén WagnerMoura FlorencePugh JoelCrawford,5759.0,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
31,635910,The Last Voyage of the Demeter,based on novel or book vampire ship gothic horror dracula Horror Fantasy CoreyHawkins AislingFranciosi LiamCunningham DavidDastmalchian ChrisWalley AndréØvredal,465.0,/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg
32,882569,Guy Ritchie's The Covenant,ambush interpreter afghanistan afghanistan war (2001  ) rescue war War Action Thriller JakeGyllenhaal DarSalim AntonyStarr AlexanderLudwig JonnyLeeMiller GuyRitchie,657.0,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg
33,346698,Barbie,feminism patriarchy satire based on toy female protagonist doll ghost fantasy world motherhood existentialism woman director mother daughter relationship gender discrimination barbie secret world Comedy Adventure Fantasy MargotRobbie RyanGosling AmericaFerrera KateMcKinnon ArianaGreenblatt GretaGerwig,5336.0,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
36,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,new york city sibling relationship skateboarding crime fighter turtle superhero ninja duringcreditsstinger teenage mutant ninja turtles aspiring journalist anthropomorphic animal Animation Comedy Action MicahAbbey ShamonBrownJr. NicolasCantu BradyNoon AyoEdebiri JeffRowe,435.0,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg
40,603692,John Wick: Chapter 4,new york city martial arts hitman sequel organized crime osaka japan aftercreditsstinger hunted professional assassin neo noir berlin Action Thriller Crime KeanuReeves DonnieYen BillSkarsgård IanMcShane LaurenceFishburne ChadStahelski,4159.0,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
43,502356,The Super Mario Bros. Movie,video game gorilla plumber magic mushroom anthropomorphism based on video game toad aftercreditsstinger duringcreditsstinger damsel in distress piano brother brother relationship evil king Animation Family Adventure Fantasy Comedy ChrisPratt AnyaTaylor Joy CharlieDay JackBlack MichaelJelenic,6262.0,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
44,713704,Evil Dead Rise,sibling relationship earthquake pregnancy sequel gore los angeles california demon evil necronomicon reboot demonic possession motherhood sisterhood sister sister relationship body horror apartment Thriller Horror LilySullivan AlyssaSutherland MorganDavies GabrielleEchols NellFisher LeeCronin,1937.0,/mIBCtPvKZQlxubxKMeViO2UrP3q.jpg
45,872585,Oppenheimer,based on novel or book husband wife relationship new mexico patriotism atomic bomb world war ii atomic bomb test biography physics politics physicist based on true story jewish american guilt nuclear weapons red scare prometheus 1940s ethics new mexico desert 20th century manhattan project los alamos Drama History CillianMurphy EmilyBlunt MattDamon RobertDowneyJr. FlorencePugh ChristopherNolan,2906.0,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
51,676547,Prey for the Devil,nun exorcism catholic church demonic possession Horror Thriller JacquelineByers ColinSalmon ChristianNavarro LisaPalfrey NicholasRalph DanielStamm,544.0,/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg
52,838484,Choose or Die,video game computer prize tech noir quest 1980s cursed Horror Thriller Science Fiction IolaEvans AsaButterfield RobertEnglund AngelaGriffin RyanGage TobyMeakins,577.0,/jEYE5BPFd5FuPa1judcjpW6xqKp.jpg
61,678512,Sound of Freedom,kidnapping human trafficking based on true story children's rights child kidnapping lost children children in danger save children Action Drama JimCaviezel MiraSorvino BillCamp KurtFuller GerardoTaracena AlejandroGómezMonteverde,370.0,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg
62,283995,Guardians of the Galaxy Vol. 2,sequel superhero based on comic misfit space aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Adventure Action Science Fiction ChrisPratt ZoeSaldaña DaveBautista VinDiesel BradleyCooper JamesGunn,19621.0,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
65,800815,The Pale Blue Eye,detective based on novel or book winter investigation historical figure murder gothic horror occult west point book 1830s Mystery Crime Horror ChristianBale HarryMelling LucyBoynton TobyJones SimonMcBurney ScottCooper,962.0,/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg
69,700391,65,monster asteroid cave giant monster dinosaur quicksand crash landing alien race sick child prehistoric adventure prehistoric times shipwrecked prehistory man vs nature father daughter relationship alien spaceship Science Fiction Adventure Thriller AdamDriver ArianaGreenblatt ChloeColeman NikaKing BrianDare ScottBeck,1118.0,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg
71,661374,Glass Onion: A Knives Out Mystery,detective greece investigation satire sequel murder mystery billionaire whodunit puzzle box clue identical twin murder mystery arrested development covid 19 Comedy Crime Mystery DanielCraig EdwardNorton JanelleMonáe KathrynHahn LeslieOdomJr. RianJohnson,3584.0,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg
74,899112,Violent Night,holiday santa claus mercenary saving christmas booby trap duringcreditsstinger christmas Action Comedy Crime Thriller DavidHarbour JohnLeguizamo BeverlyD'Angelo AlexHassell AlexisLouder TommyWirkola,1265.0,/1XSYOP0JjjyMz1irihvWywro82r.jpg
